SMID,attachements,acylation1_2C,cest_dep,fed,starved,avg,ratio,anomeric_carbon,pathway
oglu#10,octopamine anthranilic acid tiglic acid,anthranilic_acid,cest-1.2,0.19729011044801056,0.31030154653176767,0.25379582848988913,1.5728185555126324,octopamine,other
oglu#14,octopamine anthranilic acid pyrrolic acid,NA,NA,4.17879940445312e-5,0.00121391670397581,6.278523490101705e-4,29.049413156377035,octopamine,other
oglu#141,octopamine anthranilic acid pyrrolic acid,anthranilic_acid,NA,0.002383717606431065,0.0020999037199993754,0.00224181066321522,0.8809364474776776,octopamine,other
oglu#16,octopamine anthranilic acid nicotinic acid,anthranilic_acid,cest-1.2,0.021627203326352363,0.0529598240790793,0.03729351370271583,2.44875970692654,octopamine,other
oglu#18,octopamine anthranilic acid hydroxybenzoic acid,NA,NA,0.006140956936295443,0.008000509368873568,0.007070733152584505,1.3028115083477378,octopamine,other
oglu#20,octopamine benzoic acid m8:1,benzoic_acid,cest-1.2,9.850558667847526e-4,0.0021751409895565967,0.0015800984281706745,2.2081397237461386,octopamine,other
oglu#4,octopamine anthranilic acid,anthranilic_acid,NA,0.11188203918075737,0.058454412843625056,0.0851682260121912,0.5224646714669342,octopamine,other
oglu#401,octopamine anthranilic acid,anthranilic_acid,NA,0.46309847194575854,0.142943981764995,0.3030212268553768,0.30866865348184014,octopamine,other
oglu#6,octopamine tiglic acid pyrrolic acid,NA,cest-1.2,4.17879940445312e-5,7.573554421485129e-4,3.9957171809652206e-4,18.12375682214945,octopamine,other
oglu#601,octopamine tiglic acid pyrrolic acid,pyrrolic_acid,cest-1.2,1.110878430642149e-4,0.012816041569832336,0.0064635647064482755,115.36853373257014,octopamine,AminoAcidCatabolism
oglu#8,octopamine benzoic acid pyrrolic acid,benzoic_acid,cest-1.2,4.5217465965382403e-4,0.007596673588040001,0.004024424123846912,16.800308079749236,octopamine,other
pyglu#2,pyrrolic acid benzoic acid,pyrrolic_acid,cest-1.2,4.17879940445312e-5,4.220163394532536e-4,2.319021667488924e-4,10.098985345014016,pyrrolic_acid,AminoAcidCatabolism
pyglu#201,pyrrolic acid benzoic acid,pyrrolic_acid,cest-1.2,1.0534392447283427e-4,5.755790242505197e-4,3.4046147436167696e-4,5.463808445820224,pyrrolic_acid,AminoAcidCatabolism
