observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,cest-1.2,5,2,,OP50,7/14/2021,68
JB,N2,5,4,,OP50,7/23/2021,77
JB,N2,5,3,,OP50,7/23/2021,77
JB,N2,5,7,,OP50,7/23/2021,77
JB,N2,5,2,,OP50,7/23/2021,77
JB,N2,5,4,,OP50,7/23/2021,77
JB,N2,5,6,,OP50,7/23/2021,77
JB,N2,5,3,,OP50,7/23/2021,77
JB,N2,5,3,,OP50,7/23/2021,77
JB,N2,5,4,,OP50,7/23/2021,77
JB,N2,5,5,,OP50,7/23/2021,77
JB,N2,5,3,,OP50,7/23/2021,77
JB,cest-1.2,5,2,,OP50,7/23/2021,79
JB,cest-1.2,5,2,,OP50,7/23/2021,79
JB,cest-1.2,5,4,,OP50,7/23/2021,79
JB,cest-1.2,5,4,,OP50,7/23/2021,79
JB,cest-1.2,5,3,,OP50,7/23/2021,79
JB,cest-1.2,5,3,,OP50,7/23/2021,79
JB,cest-1.2,5,4,,OP50,7/23/2021,79
JB,cest-1.2,5,2,,OP50,7/23/2021,79
JB,cest-1.2,5,3,,OP50,7/23/2021,79
JB,cest-1.2,5,4,,OP50,7/23/2021,79
JB,cest-1.2,5,4,,OP50,7/23/2021,80
JB,cest-1.2,5,1,,OP50,7/23/2021,80
JB,cest-1.2,5,3,,OP50,7/23/2021,80
JB,cest-1.2,5,4,,OP50,7/23/2021,80
JB,cest-1.2,5,3,,OP50,7/23/2021,80
JB,cest-1.2,5,3,,OP50,7/23/2021,80
JB,cest-1.2,5,5,,OP50,7/23/2021,80
JB,cest-1.2,5,5,,OP50,7/23/2021,80
JB,cest-1.2,5,4,,OP50,7/23/2021,80
JB,cest-1.2,5,5,,OP50,7/23/2021,80
JB,cest-1.2,5,3,,OP50,7/23/2021,81
JB,cest-1.2,5,6,,OP50,7/23/2021,81
JB,cest-1.2,5,2,,OP50,7/23/2021,81
JB,cest-1.2,5,3,,OP50,7/23/2021,81
JB,cest-1.2,5,5,,OP50,7/23/2021,81
