observer,genotype,time_off_food_min,bends,additive,food,date,plate,...9,...10
JB,cest-1.2,5,4,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-07-23,82,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-07-23,82,NA,NA
JB,N2,5,7,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,6,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,6,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,6,NA,OP50,2021-07-23,83,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,3,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,4,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,5,NA,OP50,2021-07-23,84,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,5,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,117,NA,NA
JB,N2,5,5,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,5,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,8,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,3,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,4,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,5,NA,OP50,2021-08-11,118,NA,NA
JB,N2,5,2,NA,OP50,2021-08-11,118,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-08-11,119,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,1,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,3,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,4,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,2,NA,OP50,2021-08-11,120,NA,NA
JB,cest-1.2,5,5,NA,OP50,2021-08-11,120,NA,NA
JB,N2,5,4,NA,OP50,2021-10-26,141,NA,NA
JB,N2,5,4,NA,OP50,2021-10-26,141,NA,NA
