observer,genotype,time_off_food_min,bends,additive,food,date,plate
JB,cest-1.2,5,3,NA,OP50,8/11/2021,119
JB,cest-1.2,5,3,NA,OP50,8/11/2021,119
JB,cest-1.2,5,2,NA,OP50,8/11/2021,119
JB,cest-1.2,5,5,NA,OP50,8/11/2021,119
JB,cest-1.2,5,2,NA,OP50,8/11/2021,120
JB,cest-1.2,5,1,NA,OP50,8/11/2021,120
JB,cest-1.2,5,1,NA,OP50,8/11/2021,120
JB,cest-1.2,5,2,NA,OP50,8/11/2021,120
JB,cest-1.2,5,2,NA,OP50,8/11/2021,120
JB,cest-1.2,5,3,NA,OP50,8/11/2021,120
JB,cest-1.2,5,3,NA,OP50,8/11/2021,120
JB,cest-1.2,5,4,NA,OP50,8/11/2021,120
JB,cest-1.2,5,2,NA,OP50,8/11/2021,120
JB,cest-1.2,5,5,NA,OP50,8/11/2021,120
JB,N2,5,4,NA,OP50,10/26/2021,141
JB,N2,5,4,NA,OP50,10/26/2021,141
JB,N2,5,5,NA,OP50,10/26/2021,141
JB,N2,5,2,NA,OP50,10/26/2021,141
JB,N2,5,5,NA,OP50,10/26/2021,141
JB,N2,5,3,NA,OP50,10/26/2021,141
JB,N2,5,5,NA,OP50,10/26/2021,141
JB,N2,5,6,NA,OP50,10/26/2021,141
JB,N2,5,3,NA,OP50,10/26/2021,141
JB,N2,5,3,NA,OP50,10/26/2021,141
JB,N2,5,3,NA,OP50,10/26/2021,142
JB,N2,5,3,NA,OP50,10/26/2021,142
JB,N2,5,2,NA,OP50,10/26/2021,142
JB,N2,5,5,NA,OP50,10/26/2021,142
JB,N2,5,8,NA,OP50,10/26/2021,142
JB,N2,5,4,NA,OP50,10/26/2021,142
JB,N2,5,3,NA,OP50,10/26/2021,142
JB,N2,5,3,NA,OP50,10/26/2021,142
JB,N2,5,5,NA,OP50,10/26/2021,142
JB,N2,5,3,NA,OP50,10/26/2021,142
JB,cest-1.2,5,3,NA,OP50,10/26/2021,143
JB,cest-1.2,5,4,NA,OP50,10/26/2021,143
JB,cest-1.2,5,1,NA,OP50,10/26/2021,143
JB,cest-1.2,5,2,NA,OP50,10/26/2021,143
JB,cest-1.2,5,3,NA,OP50,10/26/2021,143
JB,cest-1.2,5,4,NA,OP50,10/26/2021,143
JB,cest-1.2,5,3,NA,OP50,10/26/2021,143
JB,cest-1.2,5,3,NA,OP50,10/26/2021,143
JB,cest-1.2,5,3,NA,OP50,10/26/2021,143
JB,cest-1.2,5,3,NA,OP50,10/26/2021,144
JB,cest-1.2,5,3,NA,OP50,10/26/2021,144
JB,cest-1.2,5,1,NA,OP50,10/26/2021,144
JB,cest-1.2,5,3,NA,OP50,10/26/2021,144
JB,cest-1.2,5,2,NA,OP50,10/26/2021,144
JB,cest-1.2,5,4,NA,OP50,10/26/2021,144
JB,cest-1.2,5,3,NA,OP50,10/26/2021,144
JB,cest-1.2,5,3,NA,OP50,10/26/2021,144
JB,cest-1.2,5,2,NA,OP50,10/26/2021,144
JB,cest-1.2,5,4,NA,OP50,10/26/2021,144
JB,cest-1.2,5,1,NA,OP50,12/7/2021,171
JB,cest-1.2,5,4,NA,OP50,12/7/2021,171
JB,cest-1.2,5,3,NA,OP50,12/7/2021,171
JB,cest-1.2,5,3,NA,OP50,12/7/2021,171
JB,cest-1.2,5,2,NA,OP50,12/7/2021,171
JB,cest-1.2,5,6,NA,OP50,12/7/2021,171
JB,cest-1.2,5,3,NA,OP50,12/7/2021,171
JB,cest-1.2,5,3,NA,OP50,12/7/2021,171
JB,cest-1.2,5,2,NA,OP50,12/7/2021,171
